College Name,Private,Apps,Accept,Enroll,Top10perc,Outstate,PhD,S.F.Ratio,perc.alumni,Expend,Grad.Rate,AccpetRate,Score
Baker University,Yes,602,483,206,21,8620,58,11,21,6136,65,0.8,0
Baldwin-Wallace College,Yes,1690,1366,662,30,10995,68,17.6,20,8086,85,0.81,0
Barat College,Yes,261,192,111,15,9690,57,9.7,35,9337,71,0.74,0
Bard College,Yes,1910,838,285,50,19264,98,10.4,30,13894,79,0.44,0
Barnard College,Yes,2496,1402,531,53,17926,83,10.3,33,12580,91,0.56,0
Barry University,Yes,990,784,279,18,11290,76,12.6,11,9084,72,0.79,0
Baylor University,Yes,6075,5349,2367,34,6450,71,18.5,38,7503,72,0.88,0
Beaver College,Yes,1163,850,348,23,12850,78,12.2,30,8954,73,0.73,0
Bellarmine College,Yes,807,707,308,39,8840,74,13.1,31,6668,84,0.88,0
Belmont Abbey College,Yes,632,494,129,17,9000,78,13.2,10,7550,52,0.78,0
Belmont University,Yes,1220,974,481,28,7800,61,11.1,19,7614,49,0.8,0
Beloit College,Yes,1320,923,284,26,16304,87,11.1,26,12957,69,0.7,0
Bemidji State University,No,1208,877,546,12,4425,57,19.6,16,3752,46,0.73,0
Benedictine College,Yes,632,620,222,14,9550,64,14.1,18,5922,58,0.98,0
Bennington College,Yes,519,327,114,25,21700,35,10.1,33,16364,55,0.63,0
Bentley College,Yes,3466,2330,640,20,13800,87,17.5,20,10941,82,0.67,0
Berry College,Yes,1858,1221,480,37,8050,80,16.3,17,10511,63,0.66,0
Bethany College,Yes,878,816,200,16,8740,62,11.6,29,7718,48,0.93,0
Bethel College KS,Yes,202,184,122,19,8540,61,8.8,32,8324,56,0.91,0
Bethel College,Yes,502,384,104,11,6200,63,11.7,13,7623,35,0.76,0
Bethune Cookman College,Yes,1646,1150,542,12,5188,48,13.8,9,6817,58,0.7,0
Birmingham-Southern College,Yes,805,588,287,67,11660,74,14,34,8649,72,0.73,0
Blackburn College,Yes,500,336,156,25,6500,76,14.3,53,8377,51,0.67,0
Bloomsburg Univ. of Pennsylvania,No,6773,3028,1025,15,7844,66,18,19,7041,75,0.45,0
Bluefield College,Yes,377,358,181,15,7150,61,17.8,3,6259,53,0.95,0
Bluffton College,Yes,692,514,209,20,9900,76,13.3,19,9073,58,0.74,0
Boston University,Yes,20192,13007,3810,45,18420,80,11.9,16,16836,72,0.64,0
Bowdoin College,Yes,3356,1019,418,76,19030,93,11.2,52,20447,96,0.3,0
Bowling Green State University,No,9251,7333,3076,14,7452,81,21.1,14,6918,67,0.79,0
Bradford College,Yes,443,330,151,5,14080,57,10.2,21,15387,46,0.74,0
Bradley University,Yes,3767,3414,1061,30,10870,75,14.4,21,7671,85,0.91,0
Brandeis University,Yes,4186,2743,740,48,19380,90,9.8,24,17150,84,0.66,0
Brenau University,Yes,367,274,158,12,9592,71,13.7,12,5935,49,0.75,0
Brewton-Parker College,Yes,1436,1228,1202,10,4371,62,12.6,10,4900,18,0.86,0
Briar Cliff College,Yes,392,351,155,16,10260,39,13.1,26,8355,58,0.9,0
Bridgewater College,Yes,838,673,292,22,10265,68,13.2,24,8655,82,0.8,0
Brigham Young University at Provo,Yes,7365,5402,4615,48,2340,76,20.5,40,7916,33,0.73,0
Brown University,Yes,12586,3239,1462,87,19528,99,7.6,39,20440,97,0.26,0
Bryn Mawr College,Yes,1465,810,313,71,18165,100,12.3,49,17449,89,0.55,0
Bucknell University,Yes,6548,3813,862,49,18550,95,14.2,36,13675,93,0.58,0
Buena Vista College,Yes,860,688,285,32,13306,62,8.8,10,6333,78,0.8,0
Butler University,Yes,2362,2037,700,40,13130,77,10.9,29,9511,83,0.86,0
Cabrini College,Yes,599,494,224,8,10518,59,16.5,36,7117,71,0.82,0
Caldwell College,Yes,1011,604,213,17,8900,87,13.9,25,7922,55,0.6,0
California Lutheran University,Yes,563,247,247,23,12950,72,12.4,17,8985,60,0.44,0
California Polytechnic-San Luis,No,7811,3817,1650,47,7380,72,19.8,13,8453,59,0.49,0
California State University at Fresno,No,4540,3294,1483,5,7706,90,21.2,8,7268,61,0.73,0
Calvin College,Yes,1784,1512,913,29,10230,75,14.8,41,7786,81,0.85,0
Campbell University,Yes,2087,1339,657,20,7550,77,21.8,34,3739,63,0.64,0
Campbellsville College,Yes,848,587,298,25,6060,62,17.7,13,5391,49,0.69,0
Canisius College,Yes,2853,2193,753,16,10750,90,14.6,26,7972,64,0.77,0
Capital University,Yes,1747,1382,449,34,13050,64,12.1,27,9557,83,0.79,0
Capitol College,Yes,100,90,35,10,8400,10,12.1,24,7976,52,0.9,0
Carleton College,Yes,2694,1579,489,75,19292,81,10.4,60,17960,91,0.59,0
Carnegie Mellon University,Yes,8728,5201,1191,60,17900,86,9.2,31,24386,74,0.6,0
Carroll College,Yes,1160,991,352,19,12200,74,17.8,25,7666,79,0.85,0
Carson-Newman College,Yes,1096,951,464,27,8150,61,13.6,16,6716,67,0.87,0
Carthage College,Yes,1616,1427,434,20,13125,74,15.9,22,7364,62,0.88,0
Case Western Reserve University,Yes,3877,3156,713,71,15700,95,2.9,29,19733,67,0.81,0
Castleton State College,No,1257,940,363,9,7656,89,14.7,8,6318,79,0.75,0
Catawba College,Yes,1083,880,291,13,9270,75,13.5,27,8425,55,0.81,0
Catholic University of America,Yes,1754,1465,505,24,13712,90,9.3,18,12751,75,0.84,0
Cazenovia College,Yes,3847,3433,527,9,9384,22,14.3,20,7697,118,0.89,0
Cedar Crest College,Yes,776,607,198,25,14340,58,11.7,39,10961,74,0.78,0
Cedarville College,Yes,1307,1090,616,25,7344,50,15.3,34,6897,64,0.83,0
Centenary College,Yes,369,312,90,12,11400,41,9.5,20,9583,24,0.85,0
Centenary College of Louisiana,Yes,495,434,210,35,8950,86,11.3,25,9685,66,0.88,0
Center for Creative Studies,Yes,601,396,203,1,11230,8,6.8,4,13025,47,0.66,0
Central College,Yes,1283,1113,401,31,10938,76,13.5,29,8444,67,0.87,0
Central Connecticut State University,No,4158,2532,902,6,5962,69,16.7,4,4900,49,0.61,0
Central Missouri State University,No,4681,4101,1436,10,4620,69,19.7,4,5501,50,0.88,0
Central Washington University,No,2785,2011,1007,8,7242,67,18.1,0,6413,51,0.72,0
Central Wesleyan College,Yes,174,146,88,8,8300,62,15.2,18,3365,58,0.84,0
Centre College,Yes,1013,888,288,55,11850,95,11.4,60,13118,74,0.88,0
Chapman University,Yes,959,771,351,23,16624,72,12.8,6,12692,47,0.8,0
Chatham College,Yes,212,197,91,28,13500,95,9.3,37,16095,52,0.93,0
Chestnut Hill College,Yes,342,254,126,25,10335,71,8.3,29,7729,73,0.74,0
Christendom College,Yes,81,72,51,33,8730,92,9.3,17,10922,58,0.89,0
Christian Brothers University,Yes,880,520,224,16,9300,81,11.1,24,8129,63,0.59,0
Christopher Newport University,No,883,766,428,3,7860,80,21.2,16,4639,48,0.87,0
Claflin College,Yes,1196,697,499,21,4412,69,16.9,31,7083,21,0.58,0
Claremont McKenna College,Yes,1860,767,227,71,17000,99,9.6,52,18443,87,0.41,0
Clark University,Yes,2887,2059,457,30,17500,94,10.5,35,11951,79,0.71,0
Clarke College,Yes,460,340,167,14,10740,67,11,27,7963,74,0.74,0
Clarkson University,Yes,2174,1953,557,35,15960,95,15.8,32,11659,77,0.9,0
Clemson University,No,8065,5257,2301,37,8116,82,18,17,7597,73,0.65,0
Clinch Valley Coll. of  the Univ. of Virginia,No,689,561,250,15,7168,67,18.1,9,4417,46,0.81,0
Coe College,Yes,1006,742,275,29,13925,73,12.7,32,10141,67,0.74,0
Coker College,Yes,604,452,295,15,9888,64,12.1,39,8741,75,0.75,0
Colby College,Yes,2848,1319,456,58,18930,83,10.2,41,15954,91,0.46,0
Colgate University,Yes,4856,2492,727,46,19510,95,10.5,45,15494,93,0.51,0
College Misericordia,Yes,1432,888,317,29,10860,56,12.9,23,8604,96,0.62,0
College of Charleston,No,4772,3140,1265,22,6120,73,17.2,18,4776,51,0.66,0
College of Mount St. Joseph,Yes,798,620,238,14,9800,46,11.1,35,6889,100,0.78,0
College of Mount St. Vincent,Yes,946,648,177,23,11790,75,11.9,35,10015,83,0.68,0
College of Notre Dame,Yes,344,264,97,11,12600,77,10.4,7,9773,43,0.77,0
College of Notre Dame of Maryland,Yes,457,356,177,35,11180,64,11.5,32,7477,75,0.78,0
College of Saint Benedict,Yes,938,864,511,29,12247,70,13.1,26,8847,72,0.92,0
College of Saint Catherine,Yes,511,411,186,23,12224,63,11.5,32,7315,77,0.8,0
College of Saint Elizabeth,Yes,444,359,122,34,10900,68,11.4,23,9447,78,0.81,0
College of Saint Rose,Yes,983,664,249,23,9990,66,14.3,28,6084,64,0.68,0
College of Santa Fe,Yes,546,447,189,16,11138,40,14,7,8820,80,0.82,0
College of St. Joseph,Yes,141,118,55,12,8300,53,9.5,19,6936,76,0.84,0
College of St. Scholastica,Yes,672,596,278,29,11844,54,11.6,33,8996,72,0.89,0
College of the Holy Cross,Yes,2994,1691,659,70,18000,92,11.3,55,12138,95,0.56,0
College of William and Mary,No,7117,3106,1217,68,11720,89,12.1,31,9534,93,0.44,0
College of Wooster,Yes,2100,1883,553,29,16240,84,11.1,43,14140,69,0.9,0
Colorado College,Yes,3207,1577,490,56,17142,85,11.3,51,14664,84,0.49,0
Colorado State University,No,9478,6312,2194,29,8412,87,19.2,10,7850,59,0.67,0
Columbia College MO,Yes,314,158,132,10,8294,87,15.3,2,5015,37,0.5,0
Columbia College,Yes,737,614,242,21,10425,61,14.7,34,8693,76,0.83,0
Columbia University,Yes,6756,1930,871,78,18624,97,5.9,21,30639,99,0.29,0
Concordia College at St. Paul,Yes,281,266,139,13,10500,69,12.8,18,6955,45,0.95,0
Concordia Lutheran College,Yes,232,216,106,16,6900,67,12.1,9,6875,42,0.93,0
Concordia University CA,Yes,688,497,144,30,10800,55,13.1,13,8415,55,0.72,0
Concordia University,Yes,528,403,186,22,9216,56,12.1,13,7309,75,0.76,0
Connecticut College,Yes,3035,1546,438,42,18740,86,10.7,40,14773,91,0.51,0
Converse College,Yes,440,407,149,35,12050,63,10.2,31,10965,75,0.93,0
Cornell College,Yes,1538,1329,383,33,15248,71,12.2,31,10340,64,0.86,0
Creighton University,Yes,2967,2836,876,30,10628,85,6.5,32,22906,85,0.96,0
Culver-Stockton College,Yes,1576,1110,274,24,8000,51,14.1,28,5807,51,0.7,0
Cumberland College,Yes,995,789,398,26,6230,42,13,4,8189,63,0.79,0
D'Youville College,Yes,866,619,157,18,8920,68,14.6,42,6898,46,0.71,0
Dana College,Yes,504,482,185,10,9130,46,12.6,25,8686,54,0.96,0
Daniel Webster College,Yes,585,508,153,12,12292,61,22.2,10,8643,72,0.87,0
Dartmouth College,Yes,8587,2273,1087,87,19545,95,4.7,49,29619,98,0.26,0
Davidson College,Yes,2373,956,452,77,17295,95,12,46,17581,94,0.4,0
Defiance College,Yes,571,461,174,10,10850,58,12.8,19,7505,56,0.81,0
Delta State University,No,967,945,459,15,4528,49,17.1,16,5113,58,0.98,0
Denison University,Yes,2762,2279,533,32,16900,88,11.6,45,12423,81,0.83,0
DePauw University,Yes,1994,1656,495,50,14300,78,11.1,31,11525,82,0.83,0
Dickinson College,Yes,3014,2539,487,31,18700,87,11.2,39,13861,87,0.84,0
Dickinson State University,No,434,412,319,10,4486,50,16.5,28,4525,46,0.95,0
Dillard University,Yes,1998,1376,651,41,6700,52,14.1,12,7566,61,0.69,0
Doane College,Yes,793,709,244,20,9570,67,15.1,42,6852,60,0.89,0
Dominican College of Blauvelt,Yes,360,329,108,4,8310,43,12.7,5,5480,54,0.91,0
Dordt College,Yes,604,562,328,25,9800,61,12.5,17,7325,87,0.93,0
Dowling College,Yes,1011,829,410,9,9000,77,12.4,7,11178,42,0.82,0
Drake University,Yes,2799,2573,839,34,13420,88,15,24,9473,77,0.92,0
Drew University,Yes,2153,1580,321,56,18432,93,10.2,28,14907,83,0.73,0
Drury College,Yes,700,650,314,33,8730,82,13.2,35,9303,67,0.93,0
Duke University,Yes,13789,3893,1583,90,18590,95,5,44,27206,97,0.28,0
Earlham College,Yes,1358,1006,274,35,15036,90,10.6,46,14634,78,0.74,0
East Carolina University,No,9274,6362,2435,14,7248,74,13.2,18,9002,58,0.69,0
East Tennessee State University,No,3330,2730,1303,15,5800,73,14,9,9825,42,0.82,0
East Texas Baptist University,Yes,379,341,265,10,4950,62,15.7,7,5619,38,0.9,0
Eastern College,Yes,458,369,165,16,11190,60,13.6,22,8135,54,0.81,0
Eastern Connecticut State University,No,2172,1493,564,14,5962,71,16.9,14,5719,50,0.69,0
Eastern Illinois University,No,5597,4253,1565,12,5710,62,16.2,5,5682,76,0.76,0
Eastern Mennonite College,Yes,486,440,227,19,9650,46,11.4,29,10188,82,0.91,0
Eastern Nazarene College,Yes,516,409,200,17,8770,58,17.3,17,6430,70,0.79,0
Eckerd College,Yes,1422,1109,366,33,15360,82,12.8,26,15003,59,0.78,0
Elizabethtown College,Yes,2417,1843,426,36,14190,65,12.8,25,9815,81,0.76,0
Elmira College,Yes,1457,1045,345,27,14990,77,21.5,21,7502,64,0.72,0
Elms College,Yes,245,208,125,23,11800,71,11.3,21,8952,86,0.85,0
Elon College,Yes,3624,2786,858,11,9100,70,18.9,34,6329,63,0.77,0
Embry Riddle Aeronautical University,Yes,3151,2584,958,14,7800,37,16.5,4,12878,44,0.82,0
Emory & Henry College,Yes,765,646,226,30,8578,79,13.9,51,8061,82,0.84,0
Emory University,Yes,8506,4168,1236,76,17600,97,5,28,28457,96,0.49,0
Emporia State University,No,1256,1256,853,43,5401,72,19.3,4,5527,50,1,0
Erskine College,Yes,659,557,167,47,10485,76,13.5,47,7527,67,0.85,0
Eureka College,Yes,560,454,113,36,10955,62,10.6,31,9552,53,0.81,0
Evergreen State College,No,1801,1101,438,14,6297,75,18.1,14,8355,68,0.61,0
Fairfield University,Yes,4784,3346,781,30,15000,86,15.1,30,11220,94,0.7,0
Fayetteville State University,No,1455,1064,452,1,6806,75,15.1,10,6972,24,0.73,0
Ferrum College,Yes,1339,1107,336,12,9400,53,12.5,9,7967,22,0.83,0
Flagler College,Yes,1415,714,338,18,5120,52,18.1,9,3930,69,0.5,0
Florida Institute of Technology,Yes,1947,1580,523,39,13900,90,10.6,7,8923,57,0.81,0
Florida International University,No,3306,2079,1071,42,6597,81,13.9,20,6722,66,0.63,0
Florida Southern College,Yes,1381,1040,374,20,8025,65,17.4,10,6339,68,0.75,0
Florida State University,No,11651,8683,3023,50,6680,80,23.1,15,7250,58,0.75,0
Fontbonne College,Yes,291,245,126,16,8390,45,21.5,24,4607,62,0.84,0
Fordham University,Yes,4200,2874,942,30,14235,86,14.4,14,10864,80,0.68,0
Fort Lewis College,No,3440,2823,1123,16,6198,89,19.1,6,4362,46,0.82,0
Francis Marion University,No,1801,1655,819,13,5840,76,19.1,8,5039,43,0.92,0
Franciscan University of Steubenville,Yes,553,452,228,22,9650,57,14.9,8,6336,83,0.82,0
Franklin College,Yes,804,632,281,29,10390,54,12.5,37,11751,60,0.79,0
Franklin Pierce College,Yes,5187,4471,446,3,13320,50,17.6,16,6418,51,0.86,0
Freed-Hardeman University,Yes,895,548,314,20,5500,68,16.1,13,6078,62,0.61,0
Fresno Pacific College,Yes,346,274,146,51,9900,59,10.5,14,8095,54,0.79,0
Furman University,Yes,2161,1951,685,56,13440,92,13.5,28,12940,82,0.9,0
Gannon University,Yes,2464,1908,678,24,10970,47,13.3,18,7711,65,0.77,0
Gardner Webb University,Yes,1110,930,332,18,8180,65,15.2,12,5664,29,0.84,0
Geneva College,Yes,668,534,237,19,9476,67,20.1,26,6786,74,0.8,0
George Fox College,Yes,809,726,294,27,12500,53,13.5,22,7136,52,0.9,0
George Mason University,No,5653,4326,1727,17,10800,93,19.3,7,6751,46,0.77,0
George Washington University,Yes,7875,5062,1492,38,17450,92,7.6,15,14745,72,0.64,0
Georgetown College,Yes,727,693,286,30,8100,73,13.3,28,7508,55,0.95,0
Georgetown University,Yes,11115,2881,1390,71,18300,91,7.2,27,19635,95,0.26,0
Georgia Institute of Technology,No,7837,4527,2276,89,6489,92,19.3,33,11271,70,0.58,0
Georgia State University,No,3793,2341,1238,9,6744,87,19,10,7762,34,0.62,0
Georgian Court College,Yes,348,281,127,12,9150,56,12.2,27,7348,76,0.81,0
Gettysburg College,Yes,3596,2466,575,42,19964,94,12.1,32,14720,83,0.69,0
Goldey Beacom College,Yes,633,468,284,10,6120,25,27.6,4,6081,36,0.74,0
Gonzaga University,Yes,1886,1524,526,31,13000,78,14.7,32,9553,69,0.81,0
Gordon College,Yes,674,565,282,25,12200,73,14.2,32,9226,66,0.84,0
Goshen College,Yes,440,396,221,26,9420,51,9.9,46,10270,72,0.9,0
Goucher College,Yes,1151,813,248,40,15588,78,9.2,34,16623,77,0.71,0
Grace College and Seminary,Yes,548,428,167,18,8958,53,15.3,26,9798,64,0.78,0
Graceland College,Yes,555,414,242,14,9100,51,23.6,24,5609,47,0.75,0
Grand Valley State University,No,5165,3887,1561,20,6108,64,20.6,9,5063,57,0.75,0
Green Mountain College,Yes,780,628,198,7,11750,77,14,24,6475,76,0.81,0
Greensboro College,Yes,608,494,176,10,8330,64,13,31,7949,39,0.81,0
Greenville College,Yes,510,387,194,20,10310,57,14.3,16,8222,60,0.76,0
Grinnell College,Yes,2039,1389,432,56,15688,88,9.5,54,18979,83,0.68,0
Grove City College,Yes,2491,1110,573,57,5224,65,18.4,18,4957,100,0.45,0
Guilford College,Yes,1202,1054,326,18,13404,78,15.6,30,9114,65,0.88,0
Gustavus Adolphus College,Yes,1709,1385,634,36,14125,79,12.5,58,9907,80,0.81,0
Gwynedd Mercy College,Yes,380,237,104,30,11000,36,7.8,22,7483,96,0.62,0
Hamilton College,Yes,3140,1783,454,40,19700,91,9.6,60,17761,91,0.57,0
Hamline University,Yes,1006,825,328,34,13252,89,13,33,10296,65,0.82,0
Hampden - Sydney College,Yes,817,644,307,20,13218,95,13.3,53,12263,69,0.79,0
Hampton University,Yes,7178,3755,1433,25,7161,60,14,9,6791,70,0.52,0
Hanover College,Yes,1006,837,317,33,8200,84,10.6,26,9248,64,0.83,0
Hardin-Simmons University,Yes,467,424,350,16,6300,75,13.7,10,7054,38,0.91,0
Harding University,Yes,1721,1068,806,35,5504,71,17.7,37,6466,73,0.62,0
Hartwick College,Yes,2083,1725,430,22,17480,75,12.3,32,11625,73,0.83,0
Harvard University,Yes,13865,2165,1606,90,18485,97,9.9,52,37219,100,0.16,0
Harvey Mudd College,Yes,1377,572,178,95,17230,100,8.2,46,21569,100,0.42,0
Hastings College,Yes,817,708,262,22,9376,57,13,17,7335,52,0.87,0
Hendrix College,Yes,823,721,274,52,8800,82,13.1,26,8588,63,0.88,0
Hillsdale College,Yes,920,745,347,35,11090,80,12,31,12639,79,0.81,0
Hiram College,Yes,922,729,244,37,14067,75,10.6,34,12165,79,0.79,0
Hobart and William Smith Colleges,Yes,2688,2081,500,25,19029,99,12.1,37,13040,79,0.77,0
Hofstra University,Yes,7428,5860,1349,25,11600,81,13.9,10,10093,60,0.79,0
Hollins College,Yes,602,498,215,26,13470,78,11.1,48,13957,72,0.83,0
Hood College,Yes,699,565,176,36,13960,82,14.4,34,12434,72,0.81,0
Hope College,Yes,1712,1483,624,37,12275,72,12.5,40,9284,72,0.87,0
Houghton College,Yes,949,786,302,30,9990,85,15,24,8187,67,0.83,0
Huntingdon College,Yes,608,520,127,26,8080,63,11.4,9,7703,44,0.86,0
Huntington College,Yes,450,430,125,20,9950,76,11.8,25,9466,47,0.96,0
Huron University,Yes,600,197,124,3,7260,31,12.9,4,9249,21,0.33,0
Husson College,Yes,723,652,361,10,7800,36,22,4,4923,84,0.9,0
Illinois Benedictine College,Yes,607,558,269,22,10500,81,11.6,29,8324,75,0.92,0
Illinois College,Yes,894,787,262,28,8050,75,15.6,30,7348,52,0.88,0
Illinois Institute of Technology,Yes,1756,1360,478,42,14550,80,12.3,26,12851,56,0.77,0
Illinois State University,No,8681,6695,2408,10,7799,77,21,16,5569,54,0.77,0
Illinois Wesleyan University,Yes,3050,1342,471,55,14360,77,12.9,34,9605,83,0.44,0
Immaculata College,Yes,268,253,103,16,10000,56,11.2,33,7305,69,0.94,0
Incarnate Word College,Yes,1163,927,386,16,8840,67,11.4,21,6095,95,0.8,0
Indiana State University,No,5659,4761,3147,10,6892,72,16.6,8,6996,40,0.84,0
Indiana University at Bloomington,No,16587,13243,5873,25,9766,77,21.3,24,8686,68,0.8,0
Indiana Wesleyan University,Yes,735,423,366,20,9210,49,39.8,15,6562,34,0.58,0
Iona College,Yes,4892,3530,913,13,10690,66,16,14,8107,66,0.72,0
Iowa State University,No,8427,7424,3441,26,7550,81,19.2,22,8420,65,0.88,0
Ithaca College,Yes,7259,5526,1368,23,14424,58,11.5,25,9812,75,0.76,0
James Madison University,No,11223,5285,2082,32,7994,77,17.9,29,5212,98,0.47,0
Jamestown College,Yes,472,410,262,14,7620,51,17,21,3186,54,0.87,0
Jersey City State College,No,2957,1423,691,10,3946,63,14.9,10,8367,26,0.48,0
John Brown University,Yes,605,405,284,24,6398,68,13.3,19,8118,75,0.67,0
John Carroll University,Yes,2421,2109,820,27,11700,89,14.5,28,7738,89,0.87,0
Johns Hopkins University,Yes,8474,3446,911,75,18800,96,3.3,38,56233,90,0.41,0
Johnson State College,No,833,669,279,3,7656,80,14.4,15,6564,36,0.8,0
Judson College,Yes,313,228,137,10,9414,34,10.6,30,7840,56,0.73,0
Juniata College,Yes,1005,859,298,36,14850,97,12.7,37,12067,80,0.85,0
Kansas State University,No,5880,4075,2833,25,6995,76,18.5,22,6122,54,0.69,0
Kansas Wesleyan University,Yes,589,575,148,16,8400,63,12.4,14,6535,68,0.98,0
Keene State College,No,3121,2446,822,5,7870,73,16.1,13,6195,61,0.78,0
Kentucky Wesleyan College,Yes,584,497,175,20,8000,57,11.3,32,7058,62,0.85,0
Kenyon College,Yes,2212,1538,408,44,19240,95,11.1,46,14067,88,0.7,0
Keuka College,Yes,461,381,174,10,9600,55,13.3,43,7863,51,0.83,0
King's College,Yes,1456,1053,381,20,10910,66,15.6,37,7649,87,0.72,0
King College,Yes,355,300,142,34,8664,65,10.7,25,8954,65,0.85,0
Knox College,Yes,1040,845,286,48,15747,88,12.7,33,13224,79,0.81,0
La Roche College,Yes,361,321,185,10,8842,57,14.2,14,7022,52,0.89,0
La Salle University,Yes,2929,1834,622,20,12600,90,15.1,9,9084,84,0.63,0
Lafayette College,Yes,4010,2402,572,36,18730,93,10.5,38,15365,92,0.6,0
LaGrange College,Yes,544,399,177,15,6987,77,12.5,12,9067,75,0.73,0
Lake Forest College,Yes,979,638,271,31,16880,91,10.7,19,15687,77,0.65,0
Lakeland College,Yes,497,452,231,24,9400,49,17.2,25,4054,57,0.91,0
Lamar University,No,2336,1725,1043,10,4752,48,18.4,12,5879,26,0.74,0
Lambuth University,Yes,831,538,224,15,5170,61,16.1,10,5531,60,0.65,0
Lander University,No,1166,1009,510,9,4938,67,17,11,6119,51,0.87,0
Lawrence University,Yes,1243,947,324,50,17163,76,10.1,57,13965,77,0.76,0
Le Moyne College,Yes,1470,1199,425,21,11040,89,13.3,28,8118,94,0.82,0
Lebanon Valley College,Yes,1386,1060,320,28,13850,84,12.3,30,8196,85,0.76,0
Lehigh University,Yes,6397,4304,1092,40,18700,96,12.5,43,14665,91,0.67,0
Lenoir-Rhyne College,Yes,979,743,259,25,10100,88,12,20,8539,66,0.76,0
Lesley College,Yes,244,198,82,12,11700,71,27.8,18,8694,58,0.81,0
LeTourneau University,Yes,477,417,204,29,8840,58,20.8,23,6863,56,0.87,0
Lewis and Clark College,Yes,2774,2092,482,35,15800,97,12.3,21,12999,69,0.75,0
Lewis University,Yes,1154,1050,395,12,10560,36,14.3,10,7701,61,0.91,0
Lincoln Memorial University,Yes,787,562,363,21,5950,67,14.6,35,5177,53,0.71,0
Lincoln University,No,1660,1091,326,15,4818,71,12.6,8,10912,45,0.66,0
Lindenwood College,Yes,810,484,356,6,9200,65,24.1,9,3480,100,0.6,0
Linfield College,Yes,1561,1188,458,48,13380,89,17.8,34,8747,81,0.76,0
Livingstone College,Yes,900,473,217,22,4400,53,10.4,16,9268,92,0.53,0
Lock Haven University of Pennsylvania,No,3570,2215,651,17,7352,47,16.1,14,6374,63,0.62,0
Longwood College,No,2747,1870,724,12,7920,74,18.4,23,5553,62,0.68,0
Loras College,Yes,1641,1283,527,20,11200,61,14.2,24,7578,70,0.78,0
Louisiana College,Yes,2013,1053,212,33,5150,64,10.5,11,7547,59,0.52,0
Louisiana State University at Baton Rouge,No,5996,4993,3079,29,5925,83,15.9,11,6741,37,0.83,0
Louisiana Tech University,No,2397,2144,1525,22,3957,66,20,13,4546,45,0.89,0
