College Name,Private,Apps,Accept,Enroll,Top10perc,Outstate,PhD,S.F.Ratio,perc.alumni,Expend,Grad.Rate,AccpetRate,Score
Arkansas College (Lyon College),Yes,708,334,166,46.0,8644,79.0,12.6,24.0,14579.0,54,0.47,14.0
Arkansas Tech University,No,1734,1729,951,12.0,3460,57.0,19.6,5.0,4739.0,48,1.0,0.0
Assumption College,Yes,2135,1700,491,23.0,12000,93.0,13.8,30.0,7100.0,88,0.8,9.0
Auburn University-Main Campus,No,7548,6791,3070,25.0,6300,85.0,16.7,18.0,6642.0,69,0.9,3.0
Augsburg College,Yes,662,513,257,12.0,11902,65.0,12.8,31.0,7836.0,58,0.77,6.0
Augustana College IL,Yes,1879,1658,497,36.0,13353,78.0,12.7,40.0,9220.0,71,0.88,8.0
Augustana College,Yes,761,725,306,21.0,10990,66.0,10.4,30.0,6871.0,69,0.95,6.0
Austin College,Yes,948,798,295,42.0,11280,81.0,13.0,33.0,11361.0,71,0.84,9.0
Averett College,Yes,627,556,172,16.0,9925,59.0,22.4,11.0,6523.0,48,0.89,4.0
Baker University,Yes,602,483,206,21.0,8620,58.0,11.0,21.0,6136.0,65,0.8,8.0
Baldwin-Wallace College,Yes,1690,1366,662,30.0,10995,68.0,17.6,20.0,8086.0,85,0.81,4.0
Barat College,Yes,261,192,111,15.0,9690,57.0,9.7,35.0,9337.0,71,0.74,8.0
Bard College,Yes,1910,838,285,50.0,19264,98.0,10.4,30.0,13894.0,79,0.44,14.0
Barnard College,Yes,2496,1402,531,53.0,17926,83.0,10.3,33.0,12580.0,91,0.56,12.0
Barry University,Yes,990,784,279,18.0,11290,76.0,12.6,11.0,9084.0,72,0.79,7.0
Baylor University,Yes,6075,5349,2367,34.0,6450,71.0,18.5,38.0,7503.0,72,0.88,4.0
Beaver College,Yes,1163,850,348,23.0,12850,78.0,12.2,30.0,8954.0,73,0.73,8.0
Bellarmine College,Yes,807,707,308,39.0,8840,74.0,13.1,31.0,6668.0,84,0.88,8.0
Belmont Abbey College,Yes,632,494,129,17.0,9000,78.0,13.2,10.0,7550.0,52,0.78,7.0
Belmont University,Yes,1220,974,481,28.0,7800,61.0,11.1,19.0,7614.0,49,0.8,6.0
Beloit College,Yes,1320,923,284,26.0,16304,87.0,11.1,26.0,12957.0,69,0.7,10.0
Bemidji State University,No,1208,877,546,12.0,4425,57.0,19.6,16.0,3752.0,46,0.73,3.0
Benedictine College,Yes,632,620,222,14.0,9550,64.0,14.1,18.0,5922.0,58,0.98,4.0
Bennington College,Yes,519,327,114,25.0,21700,35.0,10.1,33.0,16364.0,55,0.63,9.0
Bentley College,Yes,3466,2330,640,20.0,13800,87.0,17.5,20.0,10941.0,82,0.67,7.0
Berry College,Yes,1858,1221,480,37.0,8050,80.0,16.3,17.0,10511.0,63,0.66,9.0
Bethany College,Yes,878,816,200,16.0,8740,62.0,11.6,29.0,7718.0,48,0.93,7.0
Bethel College KS,Yes,202,184,122,19.0,8540,61.0,8.8,32.0,8324.0,56,0.91,8.0
Bethel College,Yes,502,384,104,11.0,6200,63.0,11.7,13.0,7623.0,35,0.76,6.0
Bethune Cookman College,Yes,1646,1150,542,12.0,5188,48.0,13.8,9.0,6817.0,58,0.7,4.0
Birmingham-Southern College,Yes,805,588,287,67.0,11660,74.0,14.0,34.0,8649.0,72,0.73,10.0
Blackburn College,Yes,500,336,156,25.0,6500,76.0,14.3,53.0,8377.0,51,0.67,11.0
Bloomsburg Univ. of Pennsylvania,No,6773,3028,1025,15.0,7844,66.0,18.0,19.0,7041.0,75,0.45,5.0
Bluefield College,Yes,377,358,181,15.0,7150,61.0,17.8,3.0,6259.0,53,0.95,3.0
Bluffton College,Yes,692,514,209,20.0,9900,76.0,13.3,19.0,9073.0,58,0.74,8.0
Boston University,Yes,20192,13007,3810,45.0,18420,80.0,11.9,16.0,16836.0,72,0.64,8.0
Bowdoin College,Yes,3356,1019,418,76.0,19030,93.0,11.2,52.0,20447.0,96,0.3,16.0
Bowling Green State University,No,9251,7333,3076,14.0,7452,81.0,21.1,14.0,6918.0,67,0.79,2.0
Bradford College,Yes,443,330,151,5.0,14080,57.0,10.2,21.0,15387.0,46,0.74,8.0
Bradley University,Yes,3767,3414,1061,30.0,10870,75.0,14.4,21.0,7671.0,85,0.91,6.0
Brandeis University,Yes,4186,2743,740,48.0,19380,90.0,9.8,24.0,17150.0,84,0.66,12.0
Brenau University,Yes,367,274,158,12.0,9592,71.0,13.7,12.0,5935.0,49,0.75,6.0
Brewton-Parker College,Yes,1436,1228,1202,10.0,4371,62.0,12.6,10.0,4900.0,18,0.86,1.0
Briar Cliff College,Yes,392,351,155,16.0,10260,39.0,13.1,26.0,8355.0,58,0.9,6.0
Bridgewater College,Yes,838,673,292,22.0,10265,68.0,13.2,24.0,8655.0,82,0.8,7.0
Brigham Young University at Provo,Yes,7365,5402,4615,48.0,2340,76.0,20.5,40.0,7916.0,33,0.73,6.0
Brown University,Yes,12586,3239,1462,87.0,19528,99.0,7.6,39.0,20440.0,97,0.26,15.0
Bryn Mawr College,Yes,1465,810,313,71.0,18165,100.0,12.3,49.0,17449.0,89,0.55,15.0
Bucknell University,Yes,6548,3813,862,49.0,18550,95.0,14.2,36.0,13675.0,93,0.58,12.0
Buena Vista College,Yes,860,688,285,32.0,13306,62.0,8.8,10.0,6333.0,78,0.8,6.0
Butler University,Yes,2362,2037,700,40.0,13130,77.0,10.9,29.0,9511.0,83,0.86,7.0
Cabrini College,Yes,599,494,224,8.0,10518,59.0,16.5,36.0,7117.0,71,0.82,6.0
Caldwell College,Yes,1011,604,213,17.0,8900,87.0,13.9,25.0,7922.0,55,0.6,10.0
California Lutheran University,Yes,563,247,247,23.0,12950,72.0,12.4,17.0,8985.0,60,0.44,10.0
California Polytechnic-San Luis,No,7811,3817,1650,47.0,7380,72.0,19.8,13.0,8453.0,59,0.49,9.0
California State University at Fresno,No,4540,3294,1483,5.0,7706,90.0,21.2,8.0,7268.0,61,0.73,2.0
Calvin College,Yes,1784,1512,913,29.0,10230,75.0,14.8,41.0,7786.0,81,0.85,7.0
Campbell University,Yes,2087,1339,657,20.0,7550,77.0,21.8,34.0,3739.0,63,0.64,5.0
Campbellsville College,Yes,848,587,298,25.0,6060,62.0,17.7,13.0,5391.0,49,0.69,5.0
Canisius College,Yes,2853,2193,753,16.0,10750,90.0,14.6,26.0,7972.0,64,0.77,7.0
Capital University,Yes,1747,1382,449,34.0,13050,64.0,12.1,27.0,9557.0,83,0.79,7.0
Capitol College,Yes,100,90,35,10.0,8400,10.0,12.1,24.0,7976.0,52,0.9,5.0
Carleton College,Yes,2694,1579,489,75.0,19292,81.0,10.4,60.0,17960.0,91,0.59,13.0
Carnegie Mellon University,Yes,8728,5201,1191,60.0,17900,86.0,9.2,31.0,24386.0,74,0.6,13.0
Carroll College,Yes,1160,991,352,19.0,12200,74.0,17.8,25.0,7666.0,79,0.85,6.0
Carson-Newman College,Yes,1096,951,464,27.0,8150,61.0,13.6,16.0,6716.0,67,0.87,5.0
Carthage College,Yes,1616,1427,434,20.0,13125,74.0,15.9,22.0,7364.0,62,0.88,6.0
Case Western Reserve University,Yes,3877,3156,713,71.0,15700,95.0,2.9,29.0,19733.0,67,0.81,12.0
Castleton State College,No,1257,940,363,9.0,7656,89.0,14.7,8.0,6318.0,79,0.75,5.0
Catawba College,Yes,1083,880,291,13.0,9270,75.0,13.5,27.0,8425.0,55,0.81,7.0
Catholic University of America,Yes,1754,1465,505,24.0,13712,90.0,9.3,18.0,12751.0,75,0.84,8.0
Cazenovia College,Yes,3847,3433,527,9.0,9384,22.0,14.3,20.0,7697.0,118,0.89,3.0
Cedar Crest College,Yes,776,607,198,25.0,14340,58.0,11.7,39.0,10961.0,74,0.78,9.0
Cedarville College,Yes,1307,1090,616,25.0,7344,50.0,15.3,34.0,6897.0,64,0.83,4.0
Centenary College,Yes,369,312,90,12.0,11400,41.0,9.5,20.0,9583.0,24,0.85,5.0
Centenary College of Louisiana,Yes,495,434,210,35.0,8950,86.0,11.3,25.0,9685.0,66,0.88,8.0
Center for Creative Studies,Yes,601,396,203,1.0,11230,8.0,6.8,4.0,13025.0,47,0.66,7.0
Central College,Yes,1283,1113,401,31.0,10938,76.0,13.5,29.0,8444.0,67,0.87,7.0
Central Connecticut State University,No,4158,2532,902,6.0,5962,69.0,16.7,4.0,4900.0,49,0.61,2.0
Central Missouri State University,No,4681,4101,1436,10.0,4620,69.0,19.7,4.0,5501.0,50,0.88,0.0
Central Washington University,No,2785,2011,1007,8.0,7242,67.0,18.1,0.0,6413.0,51,0.72,2.0
Central Wesleyan College,Yes,174,146,88,8.0,8300,62.0,15.2,18.0,3365.0,58,0.84,3.0
Centre College,Yes,1013,888,288,55.0,11850,95.0,11.4,60.0,13118.0,74,0.88,12.0
Chapman University,Yes,959,771,351,23.0,16624,72.0,12.8,6.0,12692.0,47,0.8,7.0
Chatham College,Yes,212,197,91,28.0,13500,95.0,9.3,37.0,16095.0,52,0.93,11.0
Chestnut Hill College,Yes,342,254,126,25.0,10335,71.0,8.3,29.0,7729.0,73,0.74,10.0
Christendom College,Yes,81,72,51,33.0,8730,92.0,9.3,17.0,10922.0,58,0.89,10.0
Christian Brothers University,Yes,880,520,224,16.0,9300,81.0,11.1,24.0,8129.0,63,0.59,10.0
Christopher Newport University,No,883,766,428,3.0,7860,80.0,21.2,16.0,4639.0,48,0.87,2.0
Claflin College,Yes,1196,697,499,21.0,4412,69.0,16.9,31.0,7083.0,21,0.58,7.0
Claremont McKenna College,Yes,1860,767,227,71.0,17000,99.0,9.6,52.0,18443.0,87,0.41,17.0
Clark University,Yes,2887,2059,457,30.0,17500,94.0,10.5,35.0,11951.0,79,0.71,10.0
Clarke College,Yes,460,340,167,14.0,10740,67.0,11.0,27.0,7963.0,74,0.74,7.0
Clarkson University,Yes,2174,1953,557,35.0,15960,95.0,15.8,32.0,11659.0,77,0.9,8.0
Clemson University,No,8065,5257,2301,37.0,8116,82.0,18.0,17.0,7597.0,73,0.65,6.0
Clinch Valley Coll. of  the Univ. of Virginia,No,689,561,250,15.0,7168,67.0,18.1,9.0,4417.0,46,0.81,3.0
Coe College,Yes,1006,742,275,29.0,13925,73.0,12.7,32.0,10141.0,67,0.74,9.0
Coker College,Yes,604,452,295,15.0,9888,64.0,12.1,39.0,8741.0,75,0.75,6.0
Colby College,Yes,2848,1319,456,58.0,18930,83.0,10.2,41.0,15954.0,91,0.46,14.0
Colgate University,Yes,4856,2492,727,46.0,19510,95.0,10.5,45.0,15494.0,93,0.51,14.0
College Misericordia,Yes,1432,888,317,29.0,10860,56.0,12.9,23.0,8604.0,96,0.62,8.0
College of Charleston,No,4772,3140,1265,22.0,6120,73.0,17.2,18.0,4776.0,51,0.66,5.0
College of Mount St. Joseph,Yes,798,620,238,14.0,9800,46.0,11.1,35.0,6889.0,100,0.78,6.0
College of Mount St. Vincent,Yes,946,648,177,23.0,11790,75.0,11.9,35.0,10015.0,83,0.68,11.0
College of Notre Dame,Yes,344,264,97,11.0,12600,77.0,10.4,7.0,9773.0,43,0.77,6.0
College of Notre Dame of Maryland,Yes,457,356,177,35.0,11180,64.0,11.5,32.0,7477.0,75,0.78,8.0
College of Saint Benedict,Yes,938,864,511,29.0,12247,70.0,13.1,26.0,8847.0,72,0.92,6.0
College of Saint Catherine,Yes,511,411,186,23.0,12224,63.0,11.5,32.0,7315.0,77,0.8,8.0
College of Saint Elizabeth,Yes,444,359,122,34.0,10900,68.0,11.4,23.0,9447.0,78,0.81,8.0
College of Saint Rose,Yes,983,664,249,23.0,9990,66.0,14.3,28.0,6084.0,64,0.68,9.0
College of Santa Fe,Yes,546,447,189,16.0,11138,40.0,14.0,7.0,8820.0,80,0.82,5.0
College of St. Joseph,Yes,141,118,55,12.0,8300,53.0,9.5,19.0,6936.0,76,0.84,6.0
College of St. Scholastica,Yes,672,596,278,29.0,11844,54.0,11.6,33.0,8996.0,72,0.89,6.0
College of the Holy Cross,Yes,2994,1691,659,70.0,18000,92.0,11.3,55.0,12138.0,95,0.56,13.0
College of William and Mary,No,7117,3106,1217,68.0,11720,89.0,12.1,31.0,9534.0,93,0.44,11.0
College of Wooster,Yes,2100,1883,553,29.0,16240,84.0,11.1,43.0,14140.0,69,0.9,9.0
Colorado College,Yes,3207,1577,490,56.0,17142,85.0,11.3,51.0,14664.0,84,0.49,14.0
Colorado State University,No,9478,6312,2194,29.0,8412,87.0,19.2,10.0,7850.0,59,0.67,4.0
Columbia College MO,Yes,314,158,132,10.0,8294,87.0,15.3,2.0,5015.0,37,0.5,6.0
Columbia College,Yes,737,614,242,21.0,10425,61.0,14.7,34.0,8693.0,76,0.83,8.0
Columbia University,Yes,6756,1930,871,78.0,18624,97.0,5.9,21.0,30639.0,99,0.29,15.0
Concordia College at St. Paul,Yes,281,266,139,13.0,10500,69.0,12.8,18.0,6955.0,45,0.95,5.0
Concordia Lutheran College,Yes,232,216,106,16.0,6900,67.0,12.1,9.0,6875.0,42,0.93,5.0
Concordia University CA,Yes,688,497,144,30.0,10800,55.0,13.1,13.0,8415.0,55,0.72,7.0
Concordia University,Yes,528,403,186,22.0,9216,56.0,12.1,13.0,7309.0,75,0.76,7.0
Connecticut College,Yes,3035,1546,438,42.0,18740,86.0,10.7,40.0,14773.0,91,0.51,12.0
Converse College,Yes,440,407,149,35.0,12050,63.0,10.2,31.0,10965.0,75,0.93,8.0
Cornell College,Yes,1538,1329,383,33.0,15248,71.0,12.2,31.0,10340.0,64,0.86,8.0
Creighton University,Yes,2967,2836,876,30.0,10628,85.0,6.5,32.0,22906.0,85,0.96,9.0
Culver-Stockton College,Yes,1576,1110,274,24.0,8000,51.0,14.1,28.0,5807.0,51,0.7,7.0
Cumberland College,Yes,995,789,398,26.0,6230,42.0,13.0,4.0,8189.0,63,0.79,4.0
D'Youville College,Yes,866,619,157,18.0,8920,68.0,14.6,42.0,6898.0,46,0.71,9.0
Dana College,Yes,504,482,185,10.0,9130,46.0,12.6,25.0,8686.0,54,0.96,5.0
Daniel Webster College,Yes,585,508,153,12.0,12292,61.0,22.2,10.0,8643.0,72,0.87,2.0
Dartmouth College,Yes,8587,2273,1087,87.0,19545,95.0,4.7,49.0,29619.0,98,0.26,16.0
Davidson College,Yes,2373,956,452,77.0,17295,95.0,12.0,46.0,17581.0,94,0.4,15.0
Defiance College,Yes,571,461,174,10.0,10850,58.0,12.8,19.0,7505.0,56,0.81,6.0
Delta State University,No,967,945,459,15.0,4528,49.0,17.1,16.0,5113.0,58,0.98,1.0
Denison University,Yes,2762,2279,533,32.0,16900,88.0,11.6,45.0,12423.0,81,0.83,10.0
DePauw University,Yes,1994,1656,495,50.0,14300,78.0,11.1,31.0,11525.0,82,0.83,11.0
Dickinson College,Yes,3014,2539,487,31.0,18700,87.0,11.2,39.0,13861.0,87,0.84,8.0
Dickinson State University,No,434,412,319,10.0,4486,50.0,16.5,28.0,4525.0,46,0.95,2.0
Dillard University,Yes,1998,1376,651,41.0,6700,52.0,14.1,12.0,7566.0,61,0.69,7.0
Doane College,Yes,793,709,244,20.0,9570,67.0,15.1,42.0,6852.0,60,0.89,7.0
Dominican College of Blauvelt,Yes,360,329,108,4.0,8310,43.0,12.7,5.0,5480.0,54,0.91,2.0
Dordt College,Yes,604,562,328,25.0,9800,61.0,12.5,17.0,7325.0,87,0.93,5.0
Dowling College,Yes,1011,829,410,9.0,9000,77.0,12.4,7.0,11178.0,42,0.82,6.0
Drake University,Yes,2799,2573,839,34.0,13420,88.0,15.0,24.0,9473.0,77,0.92,6.0
Drew University,Yes,2153,1580,321,56.0,18432,93.0,10.2,28.0,14907.0,83,0.73,12.0
Drury College,Yes,700,650,314,33.0,8730,82.0,13.2,35.0,9303.0,67,0.93,7.0
Duke University,Yes,13789,3893,1583,90.0,18590,95.0,5.0,44.0,27206.0,97,0.28,16.0
Earlham College,Yes,1358,1006,274,35.0,15036,90.0,10.6,46.0,14634.0,78,0.74,10.0
East Carolina University,No,9274,6362,2435,14.0,7248,74.0,13.2,18.0,9002.0,58,0.69,5.0
East Tennessee State University,No,3330,2730,1303,15.0,5800,73.0,14.0,9.0,9825.0,42,0.82,4.0
East Texas Baptist University,Yes,379,341,265,10.0,4950,62.0,15.7,7.0,5619.0,38,0.9,1.0
Eastern College,Yes,458,369,165,16.0,11190,60.0,13.6,22.0,8135.0,54,0.81,8.0
Eastern Connecticut State University,No,2172,1493,564,14.0,5962,71.0,16.9,14.0,5719.0,50,0.69,5.0
Eastern Illinois University,No,5597,4253,1565,12.0,5710,62.0,16.2,5.0,5682.0,76,0.76,1.0
Eastern Mennonite College,Yes,486,440,227,19.0,9650,46.0,11.4,29.0,10188.0,82,0.91,7.0
Eastern Nazarene College,Yes,516,409,200,17.0,8770,58.0,17.3,17.0,6430.0,70,0.79,6.0
Eckerd College,Yes,1422,1109,366,33.0,15360,82.0,12.8,26.0,15003.0,59,0.78,9.0
Elizabethtown College,Yes,2417,1843,426,36.0,14190,65.0,12.8,25.0,9815.0,81,0.76,8.0
Elmira College,Yes,1457,1045,345,27.0,14990,77.0,21.5,21.0,7502.0,64,0.72,6.0
Elms College,Yes,245,208,125,23.0,11800,71.0,11.3,21.0,8952.0,86,0.85,8.0
Elon College,Yes,3624,2786,858,11.0,9100,70.0,18.9,34.0,6329.0,63,0.77,4.0
Embry Riddle Aeronautical University,Yes,3151,2584,958,14.0,7800,37.0,16.5,4.0,12878.0,44,0.82,2.0
Emory & Henry College,Yes,765,646,226,30.0,8578,79.0,13.9,51.0,8061.0,82,0.84,9.0
Emory University,Yes,8506,4168,1236,76.0,17600,97.0,5.0,28.0,28457.0,96,0.49,15.0
Emporia State University,No,1256,1256,853,43.0,5401,72.0,19.3,4.0,5527.0,50,1.0,3.0
Erskine College,Yes,659,557,167,47.0,10485,76.0,13.5,47.0,7527.0,67,0.85,11.0
Eureka College,Yes,560,454,113,36.0,10955,62.0,10.6,31.0,9552.0,53,0.81,9.0
Evergreen State College,No,1801,1101,438,14.0,6297,75.0,18.1,14.0,8355.0,68,0.61,6.0
Fairfield University,Yes,4784,3346,781,30.0,15000,86.0,15.1,30.0,11220.0,94,0.7,8.0
Fayetteville State University,No,1455,1064,452,1.0,6806,75.0,15.1,10.0,6972.0,24,0.73,4.0
Ferrum College,Yes,1339,1107,336,12.0,9400,53.0,12.5,9.0,7967.0,22,0.83,4.0
Flagler College,Yes,1415,714,338,18.0,5120,52.0,18.1,9.0,3930.0,69,0.5,5.0
Florida Institute of Technology,Yes,1947,1580,523,39.0,13900,90.0,10.6,7.0,8923.0,57,0.81,7.0
Florida International University,No,3306,2079,1071,42.0,6597,81.0,13.9,20.0,6722.0,66,0.63,8.0
Florida Southern College,Yes,1381,1040,374,20.0,8025,65.0,17.4,10.0,6339.0,68,0.75,4.0
Florida State University,No,11651,8683,3023,50.0,6680,80.0,23.1,15.0,7250.0,58,0.75,5.0
Fontbonne College,Yes,291,245,126,16.0,8390,45.0,21.5,24.0,4607.0,62,0.84,3.0
Fordham University,Yes,4200,2874,942,30.0,14235,86.0,14.4,14.0,10864.0,80,0.68,8.0
Fort Lewis College,No,3440,2823,1123,16.0,6198,89.0,19.1,6.0,4362.0,46,0.82,3.0
Francis Marion University,No,1801,1655,819,13.0,5840,76.0,19.1,8.0,5039.0,43,0.92,1.0
Franciscan University of Steubenville,Yes,553,452,228,22.0,9650,57.0,14.9,8.0,6336.0,83,0.82,6.0
Franklin College,Yes,804,632,281,29.0,10390,54.0,12.5,37.0,11751.0,60,0.79,8.0
Franklin Pierce College,Yes,5187,4471,446,3.0,13320,50.0,17.6,16.0,6418.0,51,0.86,2.0
Freed-Hardeman University,Yes,895,548,314,20.0,5500,68.0,16.1,13.0,6078.0,62,0.61,6.0
Fresno Pacific College,Yes,346,274,146,51.0,9900,59.0,10.5,14.0,8095.0,54,0.79,9.0
Furman University,Yes,2161,1951,685,56.0,13440,92.0,13.5,28.0,12940.0,82,0.9,10.0
Gannon University,Yes,2464,1908,678,24.0,10970,47.0,13.3,18.0,7711.0,65,0.77,4.0
Gardner Webb University,Yes,1110,930,332,18.0,8180,65.0,15.2,12.0,5664.0,29,0.84,3.0
Geneva College,Yes,668,534,237,19.0,9476,67.0,20.1,26.0,6786.0,74,0.8,6.0
George Fox College,Yes,809,726,294,27.0,12500,53.0,13.5,22.0,7136.0,52,0.9,6.0
George Mason University,No,5653,4326,1727,17.0,10800,93.0,19.3,7.0,6751.0,46,0.77,5.0
George Washington University,Yes,7875,5062,1492,38.0,17450,92.0,7.6,15.0,14745.0,72,0.64,11.0
Georgetown College,Yes,727,693,286,30.0,8100,73.0,13.3,28.0,7508.0,55,0.95,7.0
Georgetown University,Yes,11115,2881,1390,71.0,18300,91.0,7.2,27.0,19635.0,95,0.26,14.0
Georgia Institute of Technology,No,7837,4527,2276,89.0,6489,92.0,19.3,33.0,11271.0,70,0.58,10.0
Georgia State University,No,3793,2341,1238,9.0,6744,87.0,19.0,10.0,7762.0,34,0.62,4.0
Georgian Court College,Yes,348,281,127,12.0,9150,56.0,12.2,27.0,7348.0,76,0.81,7.0
Gettysburg College,Yes,3596,2466,575,42.0,19964,94.0,12.1,32.0,14720.0,83,0.69,12.0
Goldey Beacom College,Yes,633,468,284,10.0,6120,25.0,27.6,4.0,6081.0,36,0.74,1.0
Gonzaga University,Yes,1886,1524,526,31.0,13000,78.0,14.7,32.0,9553.0,69,0.81,8.0
Gordon College,Yes,674,565,282,25.0,12200,73.0,14.2,32.0,9226.0,66,0.84,7.0
Goshen College,Yes,440,396,221,26.0,9420,51.0,9.9,46.0,10270.0,72,0.9,10.0
Goucher College,Yes,1151,813,248,40.0,15588,78.0,9.2,34.0,16623.0,77,0.71,12.0
Grace College and Seminary,Yes,548,428,167,18.0,8958,53.0,15.3,26.0,9798.0,64,0.78,7.0
Graceland College,Yes,555,414,242,14.0,9100,51.0,23.6,24.0,5609.0,47,0.75,4.0
Grand Valley State University,No,5165,3887,1561,20.0,6108,64.0,20.6,9.0,5063.0,57,0.75,1.0
Green Mountain College,Yes,780,628,198,7.0,11750,77.0,14.0,24.0,6475.0,76,0.81,8.0
Greensboro College,Yes,608,494,176,10.0,8330,64.0,13.0,31.0,7949.0,39,0.81,7.0
Greenville College,Yes,510,387,194,20.0,10310,57.0,14.3,16.0,8222.0,60,0.76,7.0
Grinnell College,Yes,2039,1389,432,56.0,15688,88.0,9.5,54.0,18979.0,83,0.68,14.0
Grove City College,Yes,2491,1110,573,57.0,5224,65.0,18.4,18.0,4957.0,100,0.45,8.0
Guilford College,Yes,1202,1054,326,18.0,13404,78.0,15.6,30.0,9114.0,65,0.88,6.0
Gustavus Adolphus College,Yes,1709,1385,634,36.0,14125,79.0,12.5,58.0,9907.0,80,0.81,9.0
Gwynedd Mercy College,Yes,380,237,104,30.0,11000,36.0,7.8,22.0,7483.0,96,0.62,9.0
Hamilton College,Yes,3140,1783,454,40.0,19700,91.0,9.6,60.0,17761.0,91,0.57,14.0
Hamline University,Yes,1006,825,328,34.0,13252,89.0,13.0,33.0,10296.0,65,0.82,9.0
Hampden - Sydney College,Yes,817,644,307,20.0,13218,95.0,13.3,53.0,12263.0,69,0.79,11.0
Hampton University,Yes,7178,3755,1433,25.0,7161,60.0,14.0,9.0,6791.0,70,0.52,6.0
Hanover College,Yes,1006,837,317,33.0,8200,84.0,10.6,26.0,9248.0,64,0.83,8.0
Hardin-Simmons University,Yes,467,424,350,16.0,6300,75.0,13.7,10.0,7054.0,38,0.91,5.0
Harding University,Yes,1721,1068,806,35.0,5504,71.0,17.7,37.0,6466.0,73,0.62,7.0
Hartwick College,Yes,2083,1725,430,22.0,17480,75.0,12.3,32.0,11625.0,73,0.83,9.0
Harvard University,Yes,13865,2165,1606,90.0,18485,97.0,9.9,52.0,37219.0,100,0.16,16.0
Harvey Mudd College,Yes,1377,572,178,95.0,17230,100.0,8.2,46.0,21569.0,100,0.42,18.0
Hastings College,Yes,817,708,262,22.0,9376,57.0,13.0,17.0,7335.0,52,0.87,5.0
Hendrix College,Yes,823,721,274,52.0,8800,82.0,13.1,26.0,8588.0,63,0.88,9.0
Hillsdale College,Yes,920,745,347,35.0,11090,80.0,12.0,31.0,12639.0,79,0.81,9.0
Hiram College,Yes,922,729,244,37.0,14067,75.0,10.6,34.0,12165.0,79,0.79,11.0
Hobart and William Smith Colleges,Yes,2688,2081,500,25.0,19029,99.0,12.1,37.0,13040.0,79,0.77,10.0
Hofstra University,Yes,7428,5860,1349,25.0,11600,81.0,13.9,10.0,10093.0,60,0.79,6.0
Hollins College,Yes,602,498,215,26.0,13470,78.0,11.1,48.0,13957.0,72,0.83,11.0
Hood College,Yes,699,565,176,36.0,13960,82.0,14.4,34.0,12434.0,72,0.81,11.0
Hope College,Yes,1712,1483,624,37.0,12275,72.0,12.5,40.0,9284.0,72,0.87,7.0
Houghton College,Yes,949,786,302,30.0,9990,85.0,15.0,24.0,8187.0,67,0.83,8.0
Huntingdon College,Yes,608,520,127,26.0,8080,63.0,11.4,9.0,7703.0,44,0.86,5.0
Huntington College,Yes,450,430,125,20.0,9950,76.0,11.8,25.0,9466.0,47,0.96,8.0
